id,label
0,0
1,0
2,0
3,0
4,9
5,2
6,0
7,3
8,0
9,0
10,0
11,0
12,2
13,0
14,8
15,0
16,8
17,4
18,0
19,0
20,8
21,0
22,0
23,0
24,0
25,0
26,0
27,3
28,3
29,9
30,0
31,0
32,0
33,0
34,0
35,0
36,8
37,1
38,0
39,8
40,3
41,4
42,3
43,0
44,0
45,2
46,0
47,7
48,2
49,9
50,0
51,3
52,0
53,2
54,2
55,0
56,0
57,0
58,0
59,2
60,3
61,0
62,9
63,0
64,0
65,9
66,2
67,2
68,0
69,0
70,1
71,0
72,0
73,0
74,0
75,8
76,9
77,0
78,0
79,0
80,9
81,0
82,0
83,2
84,8
85,4
86,3
87,4
88,0
89,3
90,0
91,0
92,0
93,4
94,9
95,8
96,0
97,0
98,3
99,0
100,0
101,0
102,8
103,0
104,0
105,0
106,0
107,8
108,3
109,3
110,0
111,0
112,0
113,2
114,0
115,0
116,1
117,0
118,4
119,4
120,0
121,3
122,0
123,3
124,4
125,0
126,3
127,7
128,0
129,0
130,0
131,0
132,3
133,0
134,2
135,4
136,8
137,0
138,0
139,2
140,0
141,2
142,0
143,0
144,2
145,0
146,0
147,0
148,0
149,0
150,0
151,8
152,0
153,2
154,0
155,2
156,7
157,8
158,0
159,0
160,0
161,9
162,0
163,2
164,8
165,8
166,0
167,0
168,0
169,0
170,0
171,9
172,3
173,0
174,8
175,0
176,0
177,0
178,8
179,0
180,9
181,0
182,0
183,1
184,8
185,0
186,8
187,8
188,0
189,3
190,0
191,0
192,0
193,7
194,0
195,9
196,0
197,3
198,0
199,5
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,9
208,1
209,1
210,1
211,2
212,8
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,0
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,7
230,1
231,1
232,1
233,1
234,1
235,1
236,0
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,9
245,1
246,1
247,1
248,1
249,1
250,1
251,9
252,1
253,1
254,9
255,1
256,4
257,1
258,1
259,9
260,1
261,1
262,9
263,9
264,1
265,9
266,8
267,9
268,1
269,1
270,1
271,8
272,1
273,1
274,1
275,1
276,1
277,9
278,1
279,1
280,1
281,1
282,1
283,9
284,1
285,1
286,1
287,2
288,1
289,9
290,1
291,1
292,1
293,9
294,1
295,1
296,9
297,1
298,1
299,3
300,9
301,1
302,1
303,1
304,4
305,9
306,1
307,1
308,0
309,1
310,3
311,1
312,1
313,7
314,3
315,9
316,1
317,7
318,9
319,9
320,9
321,1
322,8
323,1
324,1
325,9
326,1
327,2
328,1
329,1
330,3
331,8
332,1
333,9
334,1
335,1
336,9
337,9
338,3
339,1
340,1
341,9
342,9
343,1
344,1
345,9
346,1
347,1
348,1
349,1
350,8
351,6
352,1
353,0
354,1
355,1
356,9
357,1
358,1
359,1
360,1
361,1
362,8
363,9
364,9
365,0
366,1
367,9
368,9
369,3
370,1
371,1
372,1
373,9
374,1
375,3
376,0
377,1
378,1
379,9
380,1
381,9
382,9
383,9
384,0
385,1
386,6
387,3
388,8
389,1
390,9
391,9
392,1
393,1
394,1
395,1
396,1
397,1
398,5
399,1
400,2
401,2
402,2
403,2
404,2
405,7
406,4
407,0
408,4
409,2
410,2
411,2
412,2
413,2
414,2
415,2
416,2
417,3
418,0
419,2
420,4
421,0
422,2
423,2
424,2
425,2
426,7
427,6
428,5
429,2
430,2
431,2
432,4
433,6
434,2
435,4
436,2
437,2
438,2
439,2
440,2
441,2
442,2
443,2
444,2
445,4
446,0
447,2
448,2
449,2
450,2
451,2
452,2
453,2
454,2
455,2
456,4
457,2
458,2
459,2
460,5
461,7
462,3
463,2
464,2
465,3
466,2
467,2
468,2
469,2
470,2
471,3
472,2
473,2
474,2
475,2
476,4
477,4
478,2
479,4
480,2
481,2
482,5
483,2
484,4
485,2
486,2
487,2
488,2
489,2
490,5
491,2
492,2
493,4
494,4
495,2
496,2
497,2
498,2
499,2
500,2
501,2
502,2
503,6
504,2
505,6
506,2
507,2
508,2
509,2
510,2
511,7
512,4
513,6
514,2
515,6
516,2
517,2
518,2
519,4
520,2
521,2
522,2
523,2
524,6
525,3
526,2
527,3
528,6
529,2
530,2
531,3
532,2
